listing_id,date
52241973,19-03-2023
3820211,19-03-2023
25549565,19-03-2023
52611613,19-03-2023
38321579,19-03-2023
45529447,19-03-2023
7.88301E+17,19-03-2023
28868857,19-03-2023
54128829,19-03-2023
7.23957E+17,19-03-2023
5.93272E+17,19-03-2023
52152157,19-03-2023
35914565,19-03-2023
6.68608E+17,19-03-2023
9005989,19-03-2023
5.81058E+17,19-03-2023
9501054,19-03-2023
6.87497E+17,20-03-2023
32279028,20-03-2023
5651579,20-03-2023
7.39723E+17,20-03-2023
40491172,20-03-2023
19527043,20-03-2023
6.53434E+17,20-03-2023
21752534,20-03-2023
43736299,20-03-2023
6.89719E+17,20-03-2023
53567589,20-03-2023
52691284,20-03-2023
47943571,20-03-2023
6.92808E+17,20-03-2023
53483727,20-03-2023
44180048,20-03-2023
50354540,20-03-2023
32993402,20-03-2023
6.77623E+17,20-03-2023
20519885,20-03-2023
50211226,20-03-2023
45313545,20-03-2023
6.34108E+17,20-03-2023
7.23957E+17,20-03-2023
54150131,20-03-2023
50171851,20-03-2023
25549565,20-03-2023
6.31035E+17,20-03-2023
45529316,20-03-2023
5.93272E+17,21-03-2023
8.43481E+17,21-03-2023
13083497,21-03-2023
28400263,21-03-2023
54128829,21-03-2023
25549565,21-03-2023
47345872,21-03-2023
48124042,21-03-2023
9005989,22-03-2023
7.61142E+17,22-03-2023
50211226,23-03-2023
6.68608E+17,23-03-2023
12799126,23-03-2023
51230498,23-03-2023
44265426,23-03-2023
6.17242E+17,23-03-2023
9501054,24-03-2023
53483727,24-03-2023
6.68608E+17,24-03-2023
48124042,24-03-2023
16531782,24-03-2023
46894493,24-03-2023
54128829,24-03-2023
54150131,24-03-2023
47334913,25-03-2023
8.4596E+17,25-03-2023
52691284,25-03-2023
5651579,25-03-2023
25549565,25-03-2023
7.51421E+17,25-03-2023
52611613,25-03-2023
8.16085E+17,25-03-2023
7.3588E+17,25-03-2023
52241973,25-03-2023
50171851,25-03-2023
44180048,25-03-2023
22398196,25-03-2023
47943571,25-03-2023
7.61142E+17,25-03-2023
7.17373E+17,25-03-2023
51710034,25-03-2023
45529447,25-03-2023
6.89719E+17,25-03-2023
19527043,26-03-2023
45313545,26-03-2023
6.92808E+17,26-03-2023
6.17242E+17,26-03-2023
43736299,26-03-2023
6.77623E+17,26-03-2023
48172884,26-03-2023
50211226,26-03-2023
54150131,26-03-2023
6.67645E+17,26-03-2023
7.33965E+17,26-03-2023
16531782,26-03-2023
53645427,26-03-2023
9501054,26-03-2023
5.93272E+17,26-03-2023
25549565,26-03-2023
52619545,26-03-2023
53567589,26-03-2023
8.31123E+17,26-03-2023
51230498,26-03-2023
48470454,26-03-2023
5.81058E+17,26-03-2023
9005989,26-03-2023
38321579,26-03-2023
6.68608E+17,26-03-2023
52241973,26-03-2023
48124042,26-03-2023
7.23957E+17,26-03-2023
44180048,26-03-2023
47440071,26-03-2023
48599533,26-03-2023
28722270,26-03-2023
54128829,26-03-2023
20519885,27-03-2023
45529316,27-03-2023
19527043,27-03-2023
54150131,27-03-2023
52863776,27-03-2023
27670660,27-03-2023
44265426,27-03-2023
6.89719E+17,27-03-2023
51592836,27-03-2023
52837196,27-03-2023
48172884,28-03-2023
52241973,28-03-2023
46894493,28-03-2023
7.86316E+17,28-03-2023
54128829,28-03-2023
54126420,28-03-2023
9005989,28-03-2023
44265426,28-03-2023
52152157,29-03-2023
47943571,29-03-2023
38321579,29-03-2023
25549565,29-03-2023
44180048,29-03-2023
51230498,29-03-2023
6.34108E+17,29-03-2023
7.37574E+17,29-03-2023
33558235,29-03-2023
28400263,29-03-2023
25549565,30-03-2023
32279028,30-03-2023
45529447,30-03-2023
47440071,31-03-2023
52241973,31-03-2023
6.68608E+17,31-03-2023
32993402,31-03-2023
10768745,31-03-2023
5651579,31-03-2023
52863776,31-03-2023
48470454,31-03-2023
35914565,31-03-2023
6.89719E+17,31-03-2023
44265426,31-03-2023
5.88298E+17,31-03-2023
51230498,31-03-2023
51461480,31-03-2023
6623339,31-03-2023
45313545,31-03-2023
6.68608E+17,31-03-2023
28400263,31-03-2023
7.74701E+17,01-04-2023
11639446,01-04-2023
6.68608E+17,01-04-2023
46894493,01-04-2023
35793179,01-04-2023
28868857,01-04-2023
35914565,01-04-2023
9501054,01-04-2023
6.34108E+17,01-04-2023
6.28163E+17,01-04-2023
50211226,01-04-2023
47943571,01-04-2023
51230498,01-04-2023
53567589,01-04-2023
44265426,01-04-2023
54128829,01-04-2023
6.92808E+17,01-04-2023
45529316,01-04-2023
7.56753E+17,02-04-2023
6.31035E+17,02-04-2023
6.68608E+17,02-04-2023
53567589,02-04-2023
50171851,02-04-2023
52863776,02-04-2023
35914565,02-04-2023
52619545,02-04-2023
44180048,02-04-2023
7.88301E+17,02-04-2023
53483727,02-04-2023
9005989,02-04-2023
6.89719E+17,02-04-2023
6.54303E+17,02-04-2023
8.4596E+17,02-04-2023
7.86316E+17,02-04-2023
16531782,02-04-2023
25549565,02-04-2023
6623339,02-04-2023
54126420,02-04-2023
33558235,02-04-2023
43736299,02-04-2023
54150131,03-04-2023
10768745,03-04-2023
42092736,03-04-2023
53567589,03-04-2023
6.89719E+17,03-04-2023
28400263,03-04-2023
48599533,03-04-2023
6.77623E+17,03-04-2023
45529447,03-04-2023
25549565,03-04-2023
